step,step_timestamp,timestamp_ms,time_utc
60,1771786048810,1771786048810,2026-02-22 18:47:28.810000+00:00
61,1771786183839,1771786183839,2026-02-22 18:49:43.839000+00:00
61,1771786184009,1771786184009,2026-02-22 18:49:44.009000+00:00
62,1771786317591,1771786317591,2026-02-22 18:51:57.591000+00:00
62,1771786317761,1771786317761,2026-02-22 18:51:57.761000+00:00
63,1771786453715,1771786453715,2026-02-22 18:54:13.715000+00:00
63,1771786453887,1771786453887,2026-02-22 18:54:13.887000+00:00
64,1771786588171,1771786588171,2026-02-22 18:56:28.171000+00:00
64,1771786588340,1771786588340,2026-02-22 18:56:28.340000+00:00
65,1771786723264,1771786723264,2026-02-22 18:58:43.264000+00:00
65,1771786723434,1771786723434,2026-02-22 18:58:43.434000+00:00
66,1771786857651,1771786857651,2026-02-22 19:00:57.651000+00:00
66,1771786857820,1771786857820,2026-02-22 19:00:57.820000+00:00
67,1771786992899,1771786992899,2026-02-22 19:03:12.899000+00:00
67,1771786993068,1771786993068,2026-02-22 19:03:13.068000+00:00
68,1771787126385,1771787126385,2026-02-22 19:05:26.385000+00:00
68,1771787126555,1771787126555,2026-02-22 19:05:26.555000+00:00
69,1771787263587,1771787263587,2026-02-22 19:07:43.587000+00:00
69,1771787263756,1771787263756,2026-02-22 19:07:43.756000+00:00
70,1771787397154,1771787397154,2026-02-22 19:09:57.154000+00:00
70,1771787397324,1771787397324,2026-02-22 19:09:57.324000+00:00
71,1771787532204,1771787532204,2026-02-22 19:12:12.204000+00:00
71,1771787532375,1771787532375,2026-02-22 19:12:12.375000+00:00
72,1771787666958,1771787666958,2026-02-22 19:14:26.958000+00:00
72,1771787667129,1771787667129,2026-02-22 19:14:27.129000+00:00
73,1771787801168,1771787801168,2026-02-22 19:16:41.168000+00:00
73,1771787801339,1771787801339,2026-02-22 19:16:41.339000+00:00
74,1771787934804,1771787934804,2026-02-22 19:18:54.804000+00:00
74,1771787934973,1771787934973,2026-02-22 19:18:54.973000+00:00
75,1771788067794,1771788067794,2026-02-22 19:21:07.794000+00:00
75,1771788067964,1771788067964,2026-02-22 19:21:07.964000+00:00
76,1771788204298,1771788204298,2026-02-22 19:23:24.298000+00:00
76,1771788204470,1771788204470,2026-02-22 19:23:24.470000+00:00
77,1771788339453,1771788339453,2026-02-22 19:25:39.453000+00:00
77,1771788339623,1771788339623,2026-02-22 19:25:39.623000+00:00
78,1771788472604,1771788472604,2026-02-22 19:27:52.604000+00:00
78,1771788472775,1771788472775,2026-02-22 19:27:52.775000+00:00
79,1771788607334,1771788607334,2026-02-22 19:30:07.334000+00:00
79,1771788607505,1771788607505,2026-02-22 19:30:07.505000+00:00
80,1771788741642,1771788741642,2026-02-22 19:32:21.642000+00:00
80,1771788741812,1771788741812,2026-02-22 19:32:21.812000+00:00
81,1771788876811,1771788876811,2026-02-22 19:34:36.811000+00:00
81,1771788876982,1771788876982,2026-02-22 19:34:36.982000+00:00
82,1771789010316,1771789010316,2026-02-22 19:36:50.316000+00:00
82,1771789010488,1771789010488,2026-02-22 19:36:50.488000+00:00
83,1771789141627,1771789141627,2026-02-22 19:39:01.627000+00:00
83,1771789141796,1771789141796,2026-02-22 19:39:01.796000+00:00
84,1771789274599,1771789274599,2026-02-22 19:41:14.599000+00:00
84,1771789274769,1771789274769,2026-02-22 19:41:14.769000+00:00
85,1771789408312,1771789408312,2026-02-22 19:43:28.312000+00:00
85,1771789408482,1771789408482,2026-02-22 19:43:28.482000+00:00
86,1771789541643,1771789541643,2026-02-22 19:45:41.643000+00:00
